Reaction identifier	Your list:...006E2U	Equation	ChEBI identifier	Enzyme class	Enzymes
RHEA:33839	2.5.1.125	2-O,3-dimethylflaviolin + (2E)-geranyl diphosphate + H(+) = 7-O-geranyl-2-O,3-dimethylflaviolin + diphosphate	CHEBI:78589;CHEBI:58057;CHEBI:15378;CHEBI:78590;CHEBI:33019	EC:2.5.1.125 7-geranyloxy-5-hydroxy-2-methoxy-3-methylnaphthalene-1,4-dione synthase	1
RHEA:33859	4.2.1.143	(2S-3S)-versiconal hemiacetal = versicolorin B + H2O	CHEBI:77950;CHEBI:77951;CHEBI:15377	EC:4.2.1.143 versicolorin B synthase	4
RHEA:33891	1.1.1.332	chanoclavine-I + NAD(+) = chanoclavine-I aldehyde + NADH + H(+)	CHEBI:72949;CHEBI:57540;CHEBI:71487;CHEBI:57945;CHEBI:15378	EC:1.1.1.332 chanoclavine-I dehydrogenase	8
RHEA:33907	1.5.3.19	4-(methylamino)butanoate + O2 + H2O = 4-aminobutanoate + formaldehyde + H2O2	CHEBI:66882;CHEBI:15379;CHEBI:15377;CHEBI:59888;CHEBI:16842;CHEBI:16240	EC:1.5.3.19 4-methylaminobutanoate oxidase (formaldehyde-forming)	1
RHEA:33915	1.5.3.21	4-(methylamino)butanoate + O2 + H2O = succinate semialdehyde + methylamine + H2O2	CHEBI:66882;CHEBI:15379;CHEBI:15377;CHEBI:57706;CHEBI:59338;CHEBI:16240	EC:1.5.3.21 4-methylaminobutanoate oxidase (methylamine-forming)	1
RHEA:33923	1.14.14.108	(1R,4R)-5-oxo-1,2-campholide = [(1R)-2,2,3-trimethyl-5-oxocyclopent-3-en-1-yl]acetate + H(+)	CHEBI:18130;CHEBI:64815;CHEBI:15378	EC:1.14.14.108 2,5-diketocamphane 1,2-monooxygenase	0
RHEA:33927	1.14.13.163	4-(6-hydroxypyridin-3-yl)-4-oxobutanoate + 2 NADH + O2 + 2 H(+) = 2,5-dihydroxypyridine + succinate semialdehyde + 2 NAD(+) + H2O	CHEBI:66893;CHEBI:57945;CHEBI:15379;CHEBI:15378;CHEBI:16364;CHEBI:57706;CHEBI:57540;CHEBI:15377	EC:1.14.13.163 6-hydroxy-3-succinoylpyridine 3-monooxygenase	2
RHEA:33931	1.13.11.65	all-trans-zeaxanthin + O2 = (3R)-11-cis-3-hydroxyretinal + (3R)-all-trans-3-hydroxyretinal	CHEBI:27547;CHEBI:15379;CHEBI:66898;CHEBI:52228	EC:1.13.11.65 carotenoid isomerooxygenase	2
RHEA:33955	2.4.1.202	DIBOA + UDP-alpha-D-glucose = DIBOA beta-D-glucoside + UDP + H(+)	CHEBI:63558;CHEBI:58885;CHEBI:63670;CHEBI:58223;CHEBI:15378	EC:2.4.1.202 2,4-dihydroxy-7-methoxy-2H-1,4-benzoxazin-3(4H)-one 2-D-glucosyltransferase	2
RHEA:33963	2.7.4.26	isopentenyl phosphate + ATP = isopentenyl diphosphate + ADP	CHEBI:65078;CHEBI:30616;CHEBI:128769;CHEBI:456216	EC:2.7.4.26 isopentenyl phosphate kinase	3847
