Reaction identifier	Your list:...006E2U	Equation	ChEBI identifier	Enzyme class	Enzymes
RHEA:15245	3.1.1.79	a monoacylglycerol + H2O = glycerol + a fatty acid + H(+)	CHEBI:17408;CHEBI:15377;CHEBI:17754;CHEBI:28868;CHEBI:15378	EC:3.1.1.79 hormone-sensitive lipase	4740
RHEA:15249	2.4.1.136	3,4,5-trihydroxybenzoate + UDP-alpha-D-glucose = 1-O-galloyl-beta-D-glucose + UDP	CHEBI:16918;CHEBI:58885;CHEBI:15834;CHEBI:58223	EC:2.4.1.136 gallate 1-beta-glucosyltransferase	3
RHEA:15257	4.1.2.42	D-threonine = acetaldehyde + glycine	CHEBI:57757;CHEBI:15343;CHEBI:57305	EC:4.1.2.42 D-threonine aldolase	1
RHEA:15277	2.3.1.108	L-lysyl-[alpha-tubulin] + acetyl-CoA = N(6)-acetyl-L-lysyl-[alpha-tubulin] + CoA + H(+)	CHEBI:29969;CHEBI:57288;CHEBI:61930;CHEBI:57287;CHEBI:15378	EC:2.3.1.108 alpha-tubulin N-acetyltransferase	1970
RHEA:15281	5.3.3.5	lathosterol = 5alpha-cholest-8-en-3beta-ol	CHEBI:17168;CHEBI:16608	EC:5.3.3.5 cholestenol Delta-isomerase	7
RHEA:15285	2.5.1.27	dimethylallyl diphosphate + AMP = N(6)-(dimethylallyl)adenosine 5'-phosphate + diphosphate	CHEBI:57623;CHEBI:456215;CHEBI:57526;CHEBI:33019	EC:2.5.1.27 adenylate dimethylallyltransferase (AMP-dependent)	146
RHEA:15297	2.4.1.133	3-O-(beta-D-xylosyl)-L-seryl-[protein] + UDP-alpha-D-galactose = 3-O-(beta-D-galactosyl-(1->4)-beta-D-xylosyl)-L-seryl-[protein] + UDP + H(+)	CHEBI:132085;CHEBI:66914;CHEBI:132088;CHEBI:58223;CHEBI:15378	EC:2.4.1.133 xylosylprotein 4-beta-galactosyltransferase	4
RHEA:15305	1.2.1.8	betaine aldehyde + NAD(+) + H2O = glycine betaine + NADH + 2 H(+)	CHEBI:15710;CHEBI:57540;CHEBI:15377;CHEBI:17750;CHEBI:57945;CHEBI:15378	EC:1.2.1.8 betaine-aldehyde dehydrogenase	7426
RHEA:15325	2.3.1.15	sn-glycerol 3-phosphate + an acyl-CoA = a 1-acyl-sn-glycero-3-phosphate + CoA	CHEBI:57597;CHEBI:58342;CHEBI:57970;CHEBI:57287	EC:2.3.1.15 glycerol-3-phosphate 1-O-acyltransferase	7953
RHEA:15329	1.1.1.350	(S)-ureidoglycolate + NAD(+) = N-carbamoyl-2-oxoglycine + NADH + H(+)	CHEBI:57296;CHEBI:57540;CHEBI:57824;CHEBI:57945;CHEBI:15378	EC:1.1.1.154 ureidoglycolate dehydrogenase;EC:1.1.1.350 ureidoglycolate dehydrogenase (NAD(+))	2
RHEA:15337	3.1.2.25	phenylglyoxylyl-CoA + H2O = phenylglyoxylate + CoA + H(+)	CHEBI:58811;CHEBI:15377;CHEBI:36656;CHEBI:57287;CHEBI:15378	EC:3.1.2.25 phenylacetyl-CoA hydrolase	0
RHEA:15377	2.7.1.189	(S)-4,5-dihydroxypentane-2,3-dione + ATP = (2S)-2-hydroxy-3,4-dioxopentyl phosphate + ADP + H(+)	CHEBI:29484;CHEBI:30616;CHEBI:71677;CHEBI:456216;CHEBI:15378	EC:2.7.1.189 autoinducer-2 kinase	847
RHEA:15381	1.13.11.24	quercetin + O2 = 2-(3,4-dihydroxybenzoyloxy)-4,6-dihydroxybenzoate + CO	CHEBI:57694;CHEBI:15379;CHEBI:57628;CHEBI:17245	EC:1.13.11.24 quercetin 2,3-dioxygenase	19
RHEA:15389	4.6.1.1	ATP = 3',5'-cyclic AMP + diphosphate	CHEBI:30616;CHEBI:58165;CHEBI:33019	EC:4.6.1.1 adenylate cyclase	21398
RHEA:15393	5.1.1.7	(2S,6S)-2,6-diaminoheptanedioate = meso-2,6-diaminoheptanedioate	CHEBI:57609;CHEBI:57791	EC:5.1.1.7 diaminopimelate epimerase	37720
RHEA:15397	4.5.1.3	dichloromethane + H2O = formaldehyde + 2 chloride + 2 H(+)	CHEBI:15767;CHEBI:15377;CHEBI:16842;CHEBI:17996;CHEBI:15378	EC:4.5.1.3 dichloromethane dehalogenase	2
RHEA:15405	2.3.1.304	(3R)-3-hydroxybutanoyl-CoA + [(3R)-hydroxybutanoate](n) = [(3R)-hydroxybutanoate](n+1) + CoA	CHEBI:57315;CHEBI:8298;CHEBI:57287	EC:2.3.1.304 poly[(R)-3-hydroxyalkanoate] polymerase	8
RHEA:15417	1.3.1.78,1.3.1.79	L-arogenate + NADP(+) = L-tyrosine + CO2 + NADPH	CHEBI:58180;CHEBI:58349;CHEBI:58315;CHEBI:16526;CHEBI:57783	EC:1.3.1.78 arogenate dehydrogenase (NADP(+));EC:1.3.1.79 arogenate dehydrogenase [NAD(P)(+)]	2
RHEA:15421	6.2.1.3	a long-chain fatty acid + ATP + CoA = a long-chain fatty acyl-CoA + AMP + diphosphate	CHEBI:57560;CHEBI:30616;CHEBI:57287;CHEBI:83139;CHEBI:456215;CHEBI:33019	EC:6.2.1.3 long-chain-fatty-acid--CoA ligase	27174
RHEA:15449	1.13.11.5	homogentisate + O2 = 4-maleylacetoacetate + H(+)	CHEBI:16169;CHEBI:15379;CHEBI:17105;CHEBI:15378	EC:1.13.11.5 homogentisate 1,2-dioxygenase	4681
RHEA:15465	2.7.1.91	sphinganine + ATP = sphinganine 1-phosphate + ADP + H(+)	CHEBI:57817;CHEBI:30616;CHEBI:57939;CHEBI:456216;CHEBI:15378	EC:2.7.1.91 sphingosine kinase	7
RHEA:15481	2.1.2.1	(6R)-5,10-methylene-5,6,7,8-tetrahydrofolate + glycine + H2O = (6S)-5,6,7,8-tetrahydrofolate + L-serine	CHEBI:15636;CHEBI:57305;CHEBI:15377;CHEBI:57453;CHEBI:33384	EC:2.1.2.1 glycine hydroxymethyltransferase	54497
RHEA:15501	1.4.1.13	2 L-glutamate + NADP(+) = L-glutamine + 2-oxoglutarate + NADPH + H(+)	CHEBI:29985;CHEBI:58349;CHEBI:58359;CHEBI:16810;CHEBI:57783;CHEBI:15378	EC:1.4.1.13 glutamate synthase (NADPH)	3192
RHEA:15505	1.1.1.291	(S)-2-hydroxymethylglutarate + NAD(+) = 2-formylglutarate + NADH + H(+)	CHEBI:180543;CHEBI:57540;CHEBI:58776;CHEBI:57945;CHEBI:15378	EC:1.1.1.291 2-hydroxymethylglutarate dehydrogenase	1
RHEA:15521	2.3.1.97	N-terminal glycyl-[protein] + tetradecanoyl-CoA = N-tetradecanoylglycyl-[protein] + CoA + H(+)	CHEBI:64723;CHEBI:57385;CHEBI:133050;CHEBI:57287;CHEBI:15378	EC:2.3.1.97 glycylpeptide N-tetradecanoyltransferase	6399
RHEA:15533	1.1.1.337	(2R)-3-sulfolactate + NAD(+) = 3-sulfopyruvate + NADH + H(+)	CHEBI:58738;CHEBI:57540;CHEBI:57940;CHEBI:57945;CHEBI:15378	EC:1.1.1.337 L-2-hydroxycarboxylate dehydrogenase (NAD(+))	0
RHEA:15541	2.4.1.202	DIMBOA + UDP-alpha-D-glucose = DIMBOA beta-D-glucoside + UDP + H(+)	CHEBI:18048;CHEBI:58885;CHEBI:37573;CHEBI:58223;CHEBI:15378	EC:2.4.1.202 2,4-dihydroxy-7-methoxy-2H-1,4-benzoxazin-3(4H)-one 2-D-glucosyltransferase	2
RHEA:15565	3.5.1.14	an N-acyl-L-amino acid + H2O = an L-alpha-amino acid + a carboxylate	CHEBI:59874;CHEBI:15377;CHEBI:59869;CHEBI:29067	EC:3.5.1.14 N-acyl-aliphatic-L-amino acid amidohydrolase	1450
RHEA:15577	3.2.2.8,3.2.2.3	uridine + H2O = D-ribose + uracil	CHEBI:16704;CHEBI:15377;CHEBI:47013;CHEBI:17568	EC:3.2.2.3 uridine nucleosidase;EC:3.2.2.8 ribosylpyrimidine nucleosidase	8
RHEA:15581	2.3.1.115	biochanin A 7-O-beta-D-glucoside + malonyl-CoA = biochanin A 7-O-beta-D-glucoside 6''-O-malonate + CoA	CHEBI:77804;CHEBI:57384;CHEBI:77876;CHEBI:57287	EC:2.3.1.115 isoflavone-7-O-beta-glucoside 6''-O-malonyltransferase	0
RHEA:15609	2.7.6.1	D-ribose 5-phosphate + ATP = 5-phospho-alpha-D-ribose 1-diphosphate + AMP + H(+)	CHEBI:78346;CHEBI:30616;CHEBI:58017;CHEBI:456215;CHEBI:15378	EC:2.7.6.1 ribose-phosphate diphosphokinase	39185
RHEA:15629	1.14.15.4	a steroid + 2 reduced [adrenodoxin] + O2 + 2 H(+) = an 11beta-hydroxysteroid + 2 oxidized [adrenodoxin] + H2O	CHEBI:35341;CHEBI:33738;CHEBI:15379;CHEBI:15378;CHEBI:35346;CHEBI:33737;CHEBI:15377	EC:1.14.15.4 steroid 11beta-monooxygenase	342
RHEA:15633	1.13.11.15	3,4-dihydroxyphenylacetate + O2 = 2-hydroxy-5-carboxymethylmuconate semialdehyde + H(+)	CHEBI:17612;CHEBI:15379;CHEBI:58030;CHEBI:15378	EC:1.13.11.15 3,4-dihydroxyphenylacetate 2,3-dioxygenase	1
RHEA:15641	1.1.1.38,1.1.1.40,4.1.1.112	oxaloacetate + H(+) = pyruvate + CO2	CHEBI:16452;CHEBI:15378;CHEBI:15361;CHEBI:16526	EC:1.1.1.38 malate dehydrogenase (oxaloacetate-decarboxylating);EC:1.1.1.40 malate dehydrogenase (oxaloacetate-decarboxylating) (NADP(+));EC:4.1.1.112 oxaloacetate decarboxylase	15070
RHEA:15653	2.7.1.105	beta-D-fructose 6-phosphate + ATP = beta-D-fructose 2,6-bisphosphate + ADP + H(+)	CHEBI:57634;CHEBI:30616;CHEBI:58579;CHEBI:456216;CHEBI:15378	EC:2.7.1.105 6-phosphofructo-2-kinase	27
RHEA:15669	2.7.1.78	a 5'-end dephospho-2'-deoxyribonucleoside-DNA + ATP = a 5'-end 5'-phospho-2'-deoxyribonucleoside-DNA + ADP + H(+)	CHEBI:136416;CHEBI:30616;CHEBI:136412;CHEBI:456216;CHEBI:15378	EC:2.7.1.78 polynucleotide 5'-hydroxyl-kinase	1395
RHEA:15689	4.1.1.86	L-2,4-diaminobutanoate + H(+) = propane-1,3-diamine + CO2	CHEBI:58761;CHEBI:15378;CHEBI:57484;CHEBI:16526	EC:4.1.1.86 diaminobutyrate decarboxylase	3
RHEA:15709	2.4.1.234	kaempferol + UDP-alpha-D-galactose = kaempferol 3-O-beta-D-galactoside + UDP + H(+)	CHEBI:58573;CHEBI:66914;CHEBI:76104;CHEBI:58223;CHEBI:15378	EC:2.4.1.234 kaempferol 3-O-galactosyltransferase	1
RHEA:15713	2.3.1.18	a beta-D-galactoside + acetyl-CoA = a 6-acetyl-beta-D-galactoside + CoA	CHEBI:28034;CHEBI:57288;CHEBI:28250;CHEBI:57287	EC:2.3.1.18 galactoside O-acetyltransferase	2
RHEA:15717	1.14.13.181	daunorubicin + NADPH + O2 + H(+) = doxorubicin + NADP(+) + H2O	CHEBI:64677;CHEBI:57783;CHEBI:15379;CHEBI:15378;CHEBI:64816;CHEBI:58349;CHEBI:15377	EC:1.14.13.181 13-deoxydaunorubicin hydroxylase	1
RHEA:15745	2.4.1.9	[(2->1)-beta-D-fructosyl](n) + sucrose = [(2->1)-beta-D-fructosyl](n+1) + D-glucose	CHEBI:29084;CHEBI:17992;CHEBI:4167	EC:2.4.1.9 inulosucrase	2
RHEA:15749	1.1.99.31	(S)-mandelate + A = phenylglyoxylate + AH2	CHEBI:17756;CHEBI:13193;CHEBI:36656;CHEBI:17499	EC:1.1.99.31 (S)-mandelate dehydrogenase	2
RHEA:15753	6.3.4.4	IMP + L-aspartate + GTP = N(6)-(1,2-dicarboxyethyl)-AMP + GDP + phosphate + 2 H(+)	CHEBI:58053;CHEBI:29991;CHEBI:37565;CHEBI:57567;CHEBI:58189;CHEBI:43474;CHEBI:15378	EC:6.3.4.4 adenylosuccinate synthase	50198
RHEA:15757	1.1.1.3	L-homoserine + NAD(+) = L-aspartate 4-semialdehyde + NADH + H(+)	CHEBI:57476;CHEBI:57540;CHEBI:537519;CHEBI:57945;CHEBI:15378	EC:1.1.1.3 homoserine dehydrogenase	14436
RHEA:15761	1.1.1.3	L-homoserine + NADP(+) = L-aspartate 4-semialdehyde + NADPH + H(+)	CHEBI:57476;CHEBI:58349;CHEBI:537519;CHEBI:57783;CHEBI:15378	EC:1.1.1.3 homoserine dehydrogenase	30917
RHEA:15773	2.7.1.29	dihydroxyacetone + ATP = dihydroxyacetone phosphate + ADP + H(+)	CHEBI:16016;CHEBI:30616;CHEBI:57642;CHEBI:456216;CHEBI:15378	EC:2.7.1.29 glycerone kinase	4708
RHEA:15781	5.4.3.6	L-tyrosine = 3-amino-3-(4-hydroxyphenyl)propanoate	CHEBI:58315;CHEBI:57956	EC:5.4.3.6 tyrosine 2,3-aminomutase	5
RHEA:15793	1.3.1.24	(4Z,15Z)-bilirubin IXalpha + NADP(+) = biliverdin IXalpha + NADPH + H(+)	CHEBI:57977;CHEBI:58349;CHEBI:57991;CHEBI:57783;CHEBI:15378	EC:1.3.1.24 biliverdin reductase	211
RHEA:15797	1.3.1.24	(4Z,15Z)-bilirubin IXalpha + NAD(+) = biliverdin IXalpha + NADH + H(+)	CHEBI:57977;CHEBI:57540;CHEBI:57991;CHEBI:57945;CHEBI:15378	EC:1.3.1.24 biliverdin reductase	211
RHEA:15805	6.3.3.3	(7R,8S)-7,8-diammoniononanoate + CO2 + ATP = (4R,5S)-dethiobiotin + ADP + phosphate + 3 H(+)	CHEBI:149469;CHEBI:16526;CHEBI:30616;CHEBI:149473;CHEBI:456216;CHEBI:43474;CHEBI:15378	EC:6.3.3.3 dethiobiotin synthase	21709
RHEA:15809	4.2.3.26	(2E)-geranyl diphosphate + H2O = (R)-linalool + diphosphate	CHEBI:58057;CHEBI:15377;CHEBI:28;CHEBI:33019	EC:4.2.3.26 R-linalool synthase	13
RHEA:15817	1.4.3.5	pyridoxamine 5'-phosphate + O2 + H2O = pyridoxal 5'-phosphate + H2O2 + NH4(+)	CHEBI:58451;CHEBI:15379;CHEBI:15377;CHEBI:597326;CHEBI:16240;CHEBI:28938	EC:1.4.3.5 pyridoxal 5'-phosphate synthase	19261
RHEA:15825	3.3.2.9	AZD1979 + H2O = AZD1979 oxetane hydrolysis product + H(+)	CHEBI:138980;CHEBI:15377;CHEBI:139019;CHEBI:15378	EC:3.3.2.9 microsomal epoxide hydrolase	0
RHEA:15841	1.1.1.363,1.1.1.49	D-glucose 6-phosphate + NADP(+) = 6-phospho-D-glucono-1,5-lactone + NADPH + H(+)	CHEBI:61548;CHEBI:58349;CHEBI:57955;CHEBI:57783;CHEBI:15378	EC:1.1.1.49 glucose-6-phosphate dehydrogenase (NADP(+));EC:1.1.1.363 glucose-6-phosphate dehydrogenase [NAD(P)(+)]	39392
RHEA:15853	1.1.1.149	(17R,20S)-17,20-dihydroxypregn-4-en-3-one + NAD(+) = 17alpha-hydroxyprogesterone + NADH + H(+)	CHEBI:16418;CHEBI:57540;CHEBI:17252;CHEBI:57945;CHEBI:15378	EC:1.1.1.149 20alpha-hydroxysteroid dehydrogenase	8
RHEA:15857	1.1.1.149	(17R,20S)-17,20-dihydroxypregn-4-en-3-one + NADP(+) = 17alpha-hydroxyprogesterone + NADPH + H(+)	CHEBI:16418;CHEBI:58349;CHEBI:17252;CHEBI:57783;CHEBI:15378	EC:1.1.1.149 20alpha-hydroxysteroid dehydrogenase	8
RHEA:15869	2.6.1.21	D-alanine + 2-oxoglutarate = D-glutamate + pyruvate	CHEBI:57416;CHEBI:16810;CHEBI:29986;CHEBI:15361	EC:2.6.1.21 D-amino-acid transaminase	2111
RHEA:15889	3.5.1.2	L-glutamine + H2O = L-glutamate + NH4(+)	CHEBI:58359;CHEBI:15377;CHEBI:29985;CHEBI:28938	EC:3.5.1.2 glutaminase;EC:3.5.1.38 glutamin-(asparagin-)ase	185580
RHEA:15901	5.4.2.12,5.4.2.11	(2R)-2-phosphoglycerate = (2R)-3-phosphoglycerate	CHEBI:58289;CHEBI:58272	EC:5.4.2.11 phosphoglycerate mutase (2,3-diphosphoglycerate-dependent);EC:5.4.2.12 phosphoglycerate mutase (2,3-diphosphoglycerate-independent)	66667
RHEA:15909	1.14.11.17	taurine + 2-oxoglutarate + O2 = aminoacetaldehyde + sulfite + succinate + CO2 + H(+)	CHEBI:507393;CHEBI:16810;CHEBI:15379;CHEBI:58213;CHEBI:17359;CHEBI:30031;CHEBI:16526;CHEBI:15378	EC:1.14.11.17 taurine dioxygenase	2
RHEA:15913	2.7.4.16	thiamine phosphate + ATP = thiamine diphosphate + ADP	CHEBI:37575;CHEBI:30616;CHEBI:58937;CHEBI:456216	EC:2.7.4.16 thiamine-phosphate kinase	28054
RHEA:15917	1.1.1.359,1.1.1.121	an aldopyranose + NAD(+) = aldono-1,5-lactone + NADH + H(+)	CHEBI:140379;CHEBI:57540;CHEBI:140380;CHEBI:57945;CHEBI:15378	EC:1.1.1.121 aldose 1-dehydrogenase (NAD(+));EC:1.1.1.359 aldose 1-dehydrogenase [NAD(P)(+)]	1
RHEA:15937	1.1.1.2,1.1.1.71	a primary alcohol + NADP(+) = an aldehyde + NADPH + H(+)	CHEBI:15734;CHEBI:58349;CHEBI:17478;CHEBI:57783;CHEBI:15378	EC:1.1.1.2 alcohol dehydrogenase (NADP(+));EC:1.1.1.71 alcohol dehydrogenase [NAD(P)(+)]	7330
RHEA:15941	3.5.1.16	N(2)-acetyl-L-ornithine + H2O = L-ornithine + acetate	CHEBI:57805;CHEBI:15377;CHEBI:46911;CHEBI:30089	EC:3.5.1.16 acetylornithine deacetylase	1531
RHEA:15965	3.1.4.39	a 1-O-alkyl-sn-glycero-3-phosphoethanolamine + H2O = a 1-O-alkyl-sn-glycero-3-phosphate + ethanolamine + H(+)	CHEBI:76168;CHEBI:15377;CHEBI:58014;CHEBI:57603;CHEBI:15378	EC:3.1.4.39 alkylglycerophosphoethanolamine phosphodiesterase	4
RHEA:15973	2.8.2.4	estrone + 3'-phosphoadenylyl sulfate = estrone 3-sulfate + adenosine 3',5'-bisphosphate + H(+)	CHEBI:17263;CHEBI:58339;CHEBI:60050;CHEBI:58343;CHEBI:15378	EC:2.8.2.4 estrone sulfotransferase	183
RHEA:15977	4.1.2.11	(S)-4-hydroxymandelonitrile = 4-hydroxybenzaldehyde + hydrogen cyanide	CHEBI:16660;CHEBI:17597;CHEBI:18407	EC:4.1.2.11 hydroxymandelonitrile lyase	1
RHEA:15981	4.1.1.50	S-adenosyl-L-methionine + H(+) = S-adenosyl 3-(methylsulfanyl)propylamine + CO2	CHEBI:59789;CHEBI:15378;CHEBI:57443;CHEBI:16526	EC:4.1.1.50 adenosylmethionine decarboxylase	14579
RHEA:15985	1.17.1.9	formate + NAD(+) = CO2 + NADH	CHEBI:15740;CHEBI:57540;CHEBI:16526;CHEBI:57945	EC:1.17.1.9 formate dehydrogenase	9547
RHEA:16005	4.2.1.42	galactarate = 5-dehydro-4-deoxy-D-glucarate + H2O	CHEBI:16537;CHEBI:42819;CHEBI:15377	EC:4.2.1.42 galactarate dehydratase	1084
RHEA:16013	6.1.1.14	tRNA(Gly) + glycine + ATP = glycyl-tRNA(Gly) + AMP + diphosphate	CHEBI:78442;CHEBI:57305;CHEBI:30616;CHEBI:78522;CHEBI:456215;CHEBI:33019	EC:6.1.1.14 glycine--tRNA ligase	63686
RHEA:16025	2.3.1.171	an anthocyanidin 3-O-beta-D-glucoside + malonyl-CoA = an anthocyanidin 3-O-(6-O-malonyl-beta-D-glucoside) + CoA	CHEBI:16307;CHEBI:57384;CHEBI:84163;CHEBI:57287	EC:2.3.1.171 anthocyanin 6''-O-malonyltransferase	1
RHEA:16029	3.5.3.17	3-guanidinopropanoate + H2O = urea + beta-alanine	CHEBI:57593;CHEBI:15377;CHEBI:16199;CHEBI:57966	EC:3.5.3.17 guanidinopropionase	4
RHEA:16037	2.4.2.4,2.4.2.2	thymidine + phosphate = 2-deoxy-alpha-D-ribose 1-phosphate + thymine	CHEBI:17748;CHEBI:43474;CHEBI:57259;CHEBI:17821	EC:2.4.2.2 pyrimidine-nucleoside phosphorylase;EC:2.4.2.4 thymidine phosphorylase	19635
RHEA:16041	2.4.1.97	[(1->3)-beta-D-glucosyl](n) + phosphate = [(1->3)-beta-D-glucosyl](n-1) + alpha-D-glucose 1-phosphate	CHEBI:37671;CHEBI:43474;CHEBI:58601	EC:2.4.1.30 1,3-beta-oligoglucan phosphorylase;EC:2.4.1.97 1,3-beta-D-glucan phosphorylase	0
RHEA:16069	3.5.4.5	cytidine + H2O + H(+) = uridine + NH4(+)	CHEBI:17562;CHEBI:15377;CHEBI:15378;CHEBI:16704;CHEBI:28938	EC:3.5.4.5 cytidine deaminase	22976
RHEA:16073	4.1.1.64	2,2-dialkylglycine + pyruvate + H(+) = dialkyl ketone + L-alanine + CO2	CHEBI:57689;CHEBI:15361;CHEBI:15378;CHEBI:18044;CHEBI:57972;CHEBI:16526	EC:4.1.1.64 2,2-dialkylglycine decarboxylase (pyruvate)	1
RHEA:16085	6.3.2.10	UDP-N-acetyl-alpha-D-muramoyl-L-alanyl-gamma-D-glutamyl-L-lysine + D-alanyl-D-alanine + ATP = UDP-N-acetyl-alpha-D-muramoyl-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine + ADP + phosphate + H(+)	CHEBI:83903;CHEBI:57822;CHEBI:30616;CHEBI:70758;CHEBI:456216;CHEBI:43474;CHEBI:15378	EC:6.3.2.10 UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase	1602
RHEA:16089	3.1.3.75	phosphoethanolamine + H2O = ethanolamine + phosphate	CHEBI:58190;CHEBI:15377;CHEBI:57603;CHEBI:43474	EC:3.1.3.75 phosphoethanolamine/phosphocholine phosphatase	287
RHEA:16105	4.2.1.17	a (3S)-3-hydroxyacyl-CoA = a (2E)-enoyl-CoA + H2O	CHEBI:57318;CHEBI:58856;CHEBI:15377	EC:4.2.1.17 enoyl-CoA hydratase	19599
RHEA:16109	2.7.1.11	beta-D-fructose 6-phosphate + ATP = beta-D-fructose 1,6-bisphosphate + ADP + H(+)	CHEBI:57634;CHEBI:30616;CHEBI:32966;CHEBI:456216;CHEBI:15378	EC:2.7.1.11 6-phosphofructokinase	41798
RHEA:16117	6.2.1.16	acetoacetate + ATP + CoA = acetoacetyl-CoA + AMP + diphosphate	CHEBI:13705;CHEBI:30616;CHEBI:57287;CHEBI:57286;CHEBI:456215;CHEBI:33019	EC:6.2.1.16 acetoacetate--CoA ligase	998
RHEA:16121	3.5.2.2	5,6-dihydrouracil + H2O = 3-(carbamoylamino)propanoate + H(+)	CHEBI:15901;CHEBI:15377;CHEBI:11892;CHEBI:15378	EC:3.5.2.2 dihydropyrimidinase	12
RHEA:16125	2.7.1.4,2.7.1.1	D-fructose + ATP = D-fructose 6-phosphate + ADP + H(+)	CHEBI:37721;CHEBI:30616;CHEBI:61527;CHEBI:456216;CHEBI:15378	EC:2.7.1.1 hexokinase;EC:2.7.1.4 fructokinase	17411
RHEA:16129	1.1.1.65	pyridoxine + NADP(+) = pyridoxal + NADPH + H(+)	CHEBI:16709;CHEBI:58349;CHEBI:17310;CHEBI:57783;CHEBI:15378	EC:1.1.1.65 pyridoxine 4-dehydrogenase	5
RHEA:16149	2.4.2.12	beta-nicotinamide D-ribonucleotide + diphosphate = 5-phospho-alpha-D-ribose 1-diphosphate + nicotinamide + H(+)	CHEBI:14649;CHEBI:33019;CHEBI:58017;CHEBI:17154;CHEBI:15378	EC:2.4.2.12 nicotinamide phosphoribosyltransferase	4831
RHEA:16153	1.4.3.21	a primary methyl amine + O2 + H2O = an aldehyde + H2O2 + NH4(+)	CHEBI:228804;CHEBI:15379;CHEBI:15377;CHEBI:17478;CHEBI:16240;CHEBI:28938	EC:1.4.3.21 primary-amine oxidase	3698
RHEA:16157	1.6.2.6	2 Fe(III)-[leghemoglobin] + NADPH = 2 Fe(II)-[leghemoglobin] + NADP(+) + H(+)	CHEBI:29034;CHEBI:57783;CHEBI:29033;CHEBI:58349;CHEBI:15378	EC:1.6.2.6 leghemoglobin reductase	2
RHEA:16161	1.6.2.6	2 Fe(III)-[leghemoglobin] + NADH = 2 Fe(II)-[leghemoglobin] + NAD(+) + H(+)	CHEBI:29034;CHEBI:57945;CHEBI:29033;CHEBI:57540;CHEBI:15378	EC:1.6.2.6 leghemoglobin reductase	2
RHEA:16165	1.13.12.3	L-tryptophan + O2 = indole-3-acetamide + CO2 + H2O	CHEBI:57912;CHEBI:15379;CHEBI:16031;CHEBI:16526;CHEBI:15377	EC:1.13.12.3 tryptophan 2-monooxygenase	6411
RHEA:16169	6.3.1.2	L-glutamate + NH4(+) + ATP = L-glutamine + ADP + phosphate + H(+)	CHEBI:29985;CHEBI:28938;CHEBI:30616;CHEBI:58359;CHEBI:456216;CHEBI:43474;CHEBI:15378	EC:6.3.1.2 glutamine synthetase	53632
RHEA:16177	1.2.1.36	retinal + NAD(+) + H2O = retinoate + NADH + 2 H(+)	CHEBI:15035;CHEBI:57540;CHEBI:15377;CHEBI:15036;CHEBI:57945;CHEBI:15378	EC:1.2.1.36 retinal dehydrogenase	1490
RHEA:16185	1.2.1.5,1.2.1.3	an aldehyde + NAD(+) + H2O = a carboxylate + NADH + 2 H(+)	CHEBI:17478;CHEBI:57540;CHEBI:15377;CHEBI:29067;CHEBI:57945;CHEBI:15378	EC:1.2.1.3 aldehyde dehydrogenase (NAD(+));EC:1.2.1.5 aldehyde dehydrogenase [NAD(P)(+)]	24111
RHEA:16189	1.13.11.27	3-(4-hydroxyphenyl)pyruvate + O2 = homogentisate + CO2	CHEBI:36242;CHEBI:15379;CHEBI:16169;CHEBI:16526	EC:1.13.11.27 4-hydroxyphenylpyruvate dioxygenase	1989
RHEA:16225	3.5.2.12	1,8-diazacyclotetradecane-2,9-dione + H2O = N-(6-aminohexanoyl)-6-aminohexanoate	CHEBI:16968;CHEBI:15377;CHEBI:58798	EC:3.5.2.12 6-aminohexanoate-cyclic-dimer hydrolase	2
RHEA:16233	1.1.1.169	(R)-pantoate + NADP(+) = 2-dehydropantoate + NADPH + H(+)	CHEBI:15980;CHEBI:58349;CHEBI:11561;CHEBI:57783;CHEBI:15378	EC:1.1.1.169 2-dehydropantoate 2-reductase	38018
RHEA:16237	5.2.1.8	[protein]-peptidylproline (omega=180) = [protein]-peptidylproline (omega=0)	CHEBI:83834;CHEBI:83833	EC:5.2.1.8 peptidylprolyl isomerase	316520
RHEA:16241	2.4.1.13	an NDP-alpha-D-glucose + D-fructose = a ribonucleoside 5'-diphosphate + sucrose + H(+)	CHEBI:76533;CHEBI:37721;CHEBI:57930;CHEBI:17992;CHEBI:15378	EC:2.4.1.13 sucrose synthase	5089
RHEA:16249	5.1.3.15	alpha-D-glucose 6-phosphate = beta-D-glucose 6-phosphate	CHEBI:58225;CHEBI:58247	EC:5.1.3.15 glucose-6-phosphate 1-epimerase	12338
RHEA:16269	1.7.1.6	N,N-dimethyl-1,4-phenylenediamine + aniline + 2 NADP(+) = 4-(dimethylamino)azobenzene + 2 NADPH + 2 H(+)	CHEBI:15783;CHEBI:17296;CHEBI:58349;CHEBI:17903;CHEBI:57783;CHEBI:15378	EC:1.7.1.6 azobenzene reductase	1
RHEA:16285	1.5.1.11	D-octopine + NAD(+) + H2O = L-arginine + pyruvate + NADH + H(+)	CHEBI:57520;CHEBI:57540;CHEBI:15377;CHEBI:32682;CHEBI:15361;CHEBI:57945;CHEBI:15378	EC:1.5.1.11 D-octopine dehydrogenase	5
