Organism,Consensus optimal temperature,ARS,ATCC,BCCM,BCRC,CABRI,CCM,CCUG,CECT,CICC,DSMZ,HAMBI,JCM,KEMB,NBIMCC,NBRC,NCIMB,NCMA,NCTC,NIES,VKM,CIP
Proteiniphilum saccharofermentans,37,,,37,,,,,37,,37,,,,,,,,,,,
Proteinivorax hydrogeniformans,30,,,,,,,,,,30,,,,,,,,,,,
Proteinivorax tanatarense,35,,,,,,,,,,35,,,,,,,,,,35,
Proteocatella sphenisci,30,,,,,,,,,,30,,30,,,,,,,,,
Proteus alimentorum,37,,,,,,,,,,37,,,,,,,,,,,
Proteus cibarius,28,,,,,,,,,,28,,,,,,,,,,,
Proteus cibi,37,,,,,,,,,,37,,,,,,,,,,,
Proteus columbae,37,,,,,,,,,,37,,,,,,,,,,,
Proteus faecis,37,,,,,,,,,,37,,,,,,,,,,,
Proteus genomospecies,30,,37,,,30,,,,,,,,,,,,,,,,30
Proteus hauseri,37,28,37,37,37,37,37,30,37,,37,,37,,37,,37,,,,,30
Proteus inconstans,37,,,37,,37,,,,,,,,,37,,,,,,,
Proteus mirabilis,37,28,37,37,37,37,37,37,37,37,37,,37,37,37,,37,,37,,,30
Proteus mitajiri,28,28,,,,,,,,,,,,,,,,,,,,
Proteus morganii,28,,,,,,,,,28,,,,,,,,,,,,
Proteus myxofaciens,37,,,,37,37,,33,,,,,,,,,,,,,,
Proteus penneri,37,,37,37,37,37,37,33,37,,37,,37,,,,37,,24,,,30
Proteus phage,37,,,,,,,,,,37,,,,,,,,,,,
Proteus rettgeri,37,,,37,,37,,,,,,,,,,,,,,,,
Proteus terrae,28,,,28,,,,,,,28,,25,,,,,,,,,
Proteus vulgaris,37,28,37,37,37,37,37,30,37,37,37,37,37,,,,37,,37,,,30
Proteus vulgaris-group,33,,,,,,,33,,,,,,,,,,,,,,
Protomyces arabidopsidicola,22,,,,,,,,,,22,,,,,,,,,,,
Protomyces gravidus,25,25,,,,,,,,,,,,,,,,,,,,
Protomyces inouyei,21,25,,,,,,,,,,,17,,,,,,,,,
Protomyces inundatus,22,20,,,,,,,,,,,25,,,,,,,,,
Protomyces lactucaedebilis,25,25,,,,,,,,,,,,,,,,,,,,
Protomyces macrosporus,20,20,,,,,,,,,,,,,,,,,,,,
Protomyces pachydermus,20,20,,,,,,,,,20,,17,,,,,,,,,
Prototheca cutis,26,,,,,,,,,,28,,25,,,,,,,,,
Prototheca eriobotryae,30,,,,,,,,,,,,30,,,,,,,,,
Prototheca moriformis,25,,,,,,,,,,,,25,,,,,,,,,
Prototheca portoricensis,25,,,,,,,,,,,,25,,,,,,,,,
Prototheca stagnora,25,,,,,,,,,,,,25,,,,,,,,,
Prototheca thermodurica,35,,,,,,,,,,,,35,,,,,,,,,
Prototheca wickerhamii,25,,,,,,,30,,,25,,25,,,,,,,,,
Prototheca zopfii,26,28,,,,,,,,,,,25,,,,,,,,,
Providencia alcalifaciens,37,,37,,33,30,37,33,37,,37,,37,,,,,,37,,,30
Providencia burhodogranariea,28,,,,,,,,,,28,,28,,,,,,,,,
Providencia friedericiana,37,,,,,,,,,,,,,,,,,,37,,,
Providencia heimbachae,37,,26,28,26,37,37,37,,,37,,,,,,,,36,,,30
Providencia huaxiensis,37,,,,,,,,,,,,,37,,,,,,,,
Providencia rettgeri,37,28,37,,37,30,37,30,37,37,37,30,37,,,,25,,37,,,30
Providencia rustigianii,37,,37,,37,34,37,,,,36,,37,,,,,,37,,,30
Providencia sneebia,28,,,,,,,,,,28,,28,,,,,,,,,
Providencia stuartii,37,,37,37,37,33,37,30,37,36,37,37,37,,37,,,,37,,,30
Providencia thailandensis,37,,,,,,,,,,,,,37,,,,,,,,
Providencia vermicola,30,,,,,30,,33,,,,,,,,,,,,,,30
Pseduopropionibacterium propionicum,37,,37,,,,,,,,,,,37,,,,,,,,
Pseudacidovorax austerolens,37,,,,,,,37,,,,,,,,,,,,,,
Pseudacidovorax intermedius,30,,,,,30,,35,,,28,,,,,,,,,,,30
Pseudactinotalea suaedae,28,,,,,,,,,,28,,28,,,,,,,,,
Pseudactinotalea terrae,28,,,,,,,,,,28,,,,,,,,,,,
Pseudaeromonas paramecii,37,,,,,,,,,,,,37,37,,,,,,,,
Pseudaeromonas pectinilytica,30,,,,,,,,,,28,,30,30,,,,,,,,
Pseudaeromonas sharmana,30,,,,,,30,,,,30,,,,,,,,,,,30
Pseudaestuariivita atlantica,28,,,,,,,,,,28,,,,,,,,,,,
Pseudahrensia aquimaris,30,,,,,,,,,,,,,30,,,,,,,,
Pseudahrensia todarodis,30,,,,,,,,,,,,30,,,,,,,,,
Pseudallescheria apiosperma,20,,,,,,,,,,,,20,,,,,,,,,
Pseudallescheria boydii,21,,,,,,,,,,22,,20,,,,,,,,,
Pseudaminobacter arsenicus,30,,,,,,,,,,,,,30,,,,,,,,
Pseudaminobacter defluvii,30,,,,,30,,,,,28,,30,,,,,,,,,30
Pseudaminobacter granuli,29,,,28,,,,,,,,,,30,,,,,,,,
Pseudaminobacter manganicus,28,,,,,,,,,,,,,28,,,,,,,,
Pseudaminobacter salicylatoxidans,29,,,,,29,,,,,29,,,,,,,,,,,30
Pseudanabaena cenerea,20,,,,,,,,,,,,,,,,,,,20,,
Pseudanabaena subfoetida,20,,,,,,,,,,,,,,,,,,,20,,
Pseudanabaena yagii,20,,,,,,,,,,,,,,,,,,,20,,
Pseudarcicella hirudinis,28,,,28,28,,,,,,28,,,,,,,,,,,30
Pseudarcobacter aquimarinus,29,,,28,,,,,30,,,,,,,,,,,,,
Pseudarcobacter cloacae,29,,,28,,,,,30,,,,,,,,,,,,,
Pseudarcobacter defluvii,28,,,28,,,,,30,,,,28,,,,,,,,,
Pseudarcobacter ellisii,29,,,28,,,,,30,,,,,,,,,,,,,
Pseudarcobacter suis,29,,,28,,,,,30,,,,,,,,,,,,,
Pseudarcobacter venerupis,27,,,28,,,,,26,,,,,,,,,,,,,
Pseudarthrobacter chlorophenolicus,28,,,,,,,,,,28,,28,,,,,,,,,30
Pseudarthrobacter defluvii,26,,,,,,,,,,28,,,25,,,,,,,,
Pseudarthrobacter equi,28,,,,,,,30,,,28,,28,,,,,,,,,
Pseudarthrobacter niigatensis,28,,,,,,,,,,28,,28,,,,,,,,,
Pseudarthrobacter oxydans,30,,,28,,,,,30,,30,,30,,,,,,,,28,
Pseudarthrobacter phenanthrenivorans,28,,,28,,,,,,,28,,28,,,,,,,,,
Pseudarthrobacter polychromogenes,30,,,,30,,,,,,30,,30,,,,,,,,28,30
Pseudarthrobacter psychrotolerans,13,,,,,,,,,,,,13,,,,,,,,,
Pseudarthrobacter scleromae,30,,,,,,,,,,34,,28,,,,,,,,,30
Pseudarthrobacter siccitolerans,29,,,28,,,,,30,,28,,,,,,,,,,,30
Pseudarthrobacter sulfonivorans,26,,,,,,,,,,28,,25,,,,,,,,,
Pseudenhygromyxa salsuginis,28,,,,,,,,,,28,,,,,,,,,,,
Pseudescherichia vulneris,37,,,,37,,37,30,,,37,,37,,,,,,,,,30
Pseudidiomarina aestuarii,30,,,,,,,,,,,,30,,,,,,,,,
Pseudidiomarina donghaiensis,30,,,,,,,,,,,,30,,,,,,,,,
Pseudidiomarina gelatinasegens,26,,,,,,,,,,,,,26,,,,,,,,
Pseudidiomarina halophila,26,,,,,,,,26,,,,,,,,,,,,,
Pseudidiomarina homiensis,30,,,,,30,,,,,28,,,,,,,,,,,30
Pseudidiomarina marina,30,,,,,,,,,,,,30,,,,,,,,,
Pseudidiomarina planktonica,30,,,,,,,,,,,,30,,,,,,,,,
Pseudidiomarina salinarum,37,,,,,,,37,,,37,,,37,,,,,,,,
Pseudidiomarina sediminum,28,,,28,,28,,,,28,28,,,,,,,,,,,
Pseudidiomarina tainanensis,30,,,,,,,,,,,,30,,,,,,,,,
Pseudidiomarina taiwanensis,29,,,,,,,,,,28,,30,,,,,,,,,
Pseudidiomarina woesei,30,,,,,,,,,,,,30,,,,,,,,,
Pseudoahrensia aquimaris,30,,,,,,,30,,,,,,,,,,,,,,
Pseudoalteromonas aestuariivivens,30,,,,,,,,30,,,,,30,,,,,,,,
Pseudoalteromonas agarivorans,25,,,,25,25,,,,,25,,,,,,,,,,,25
Pseudoalteromonas aliena,25,,,25,25,25,,,,,22,,,,,,,,,,,25
Pseudoalteromonas amylolytica,30,,,,,,,,,,,,,30,,,,,,,,
Pseudoalteromonas antarctica,21,,,25,,20,,,26,,,,,,,,,,,,,15
Pseudoalteromonas arabiensis,25,,,,,,,,,,,,25,,,,,,,,,
Pseudoalteromonas arctica,20,,,20,,20,,,,,20,,,,,,,,,,,
Pseudoalteromonas atlantica,23,,26,,,25,,30,26,,20,,25,,,,20,,,,,22
Pseudoalteromonas aurantia,19,,25,,,19,,,,,19,,,,,,,,,,,
Pseudoalteromonas bacteriolytica,20,,,,,20,,,,,,,,,,,,,,,,
Pseudoalteromonas byunsanensis,25,,,,,,,,,,,,,25,,,,,,,,
Pseudoalteromonas carrageenovora,20,,,,,20,,,,20,20,,25,,,,20,,,,,22
Pseudoalteromonas citrea,25,,,25,,25,,,,,26,,,,,,20,,,,,22
Pseudoalteromonas denitrificans,10,,10,,,12,,,,,10,,,,,,,,,,,15
Pseudoalteromonas DH166,28,28,,,,,,,,,,,,,,,,,,,,
Pseudoalteromonas distincta,25,,,,25,25,,,,,20,,,,,,,,,,,25
Pseudoalteromonas donghaensis,28,,,28,,28,,,,,,,,25,,,,,,,,
Pseudoalteromonas elyakovii,25,,,25,25,25,,30,,,20,,20,,,,,,,,,25
Pseudoalteromonas espeijana,25,,,25,,25,,,,,,,,,,,,,,,,
Pseudoalteromonas espejiana,27,,27,,,25,,30,30,,28,,25,,,,22,,,,,22
Pseudoalteromonas fenneropenaei,30,,,,,,,,,,,,,30,,,,,,,,
Pseudoalteromonas flavipulchra,27,,,25,,25,,,,,28,,,,,,30,,,,,30
Pseudoalteromonas flavupulchra,30,,,,,30,,,,,,,,,,,,,,,,
Pseudoalteromonas fuliginea,25,,,25,,,,,,,24,,,,,,,,,,,25
Pseudoalteromonas gelatinilytica,28,,,,,,,,,,28,,,,,,,,,,,
Pseudoalteromonas haloplanktis,25,,27,25,26,25,,,26,,26,,25,,,,20,,,,,22
Pseudoalteromonas hodoensis,28,,,,,,,,,,28,,,29,,,,,,,,
Pseudoalteromonas issachenkonii,25,,,25,25,25,,,,,22,,,25,,,,,,,,25
Pseudoalteromonas lipolytica,29,,,,,,,,,,28,,30,,,,,,,,,
Pseudoalteromonas luteoviolacea,25,,,,,25,22,,26,,26,,25,,,,20,,,,,22
Pseudoalteromonas maricaloris,25,,,25,,26,,,,,25,,,25,,,,,,,,28
Pseudoalteromonas marina,25,,,,25,,,,26,,25,,,25,,,,,,,,
Pseudoalteromonas mariniglutinosa,25,,,25,,25,,,,,25,,,,,,20,,,,,25
Pseudoalteromonas neustonica,25,,,,,,,,,,,,25,,,,,,,,,
Pseudoalteromonas nigrifaciens,25,,,25,,25,,,,,,,25,,,,20,,,,,22
Pseudoalteromonas paragorgicola,28,,,25,28,24,,,,,28,,,,,,,,,,,
Pseudoalteromonas peptidolytica,30,,,,,29,,,,,28,,,30,,,,,,,,30
Pseudoalteromonas phenolica,25,,,,,,,,,,,,,25,,,,,,,,
Pseudoalteromonas piratica,20,,,,,,,,,,,,,,,,,,,,,20
Pseudoalteromonas piscicida,25,,,25,,25,,,,,26,,30,,,,30,,,,,25
Pseudoalteromonas prydzensis,20,,,20,,20,,,,,20,,,,,,,,,,,25
Pseudoalteromonas rhizopshaerae,28,,,28,,,,,,,,,,,,,,,,,,
Pseudoalteromonas rhizosphaerae,30,,,,,,,,30,,,,,,,,,,,,,
Pseudoalteromonas rubra,25,,,,,23,25,,,,25,,,,,,20,,,,,22
Pseudoalteromonas ruthenica,25,,,25,,25,,,,,25,,,25,,,20,,,,,
Pseudoalteromonas ruthenika,25,,,,,25,,,,,,,,,,,,,,,,25
Pseudoalteromonas shioyasakiensis,30,,,,,,,,,,,,30,,,,,,,,,
Pseudoalteromonas spiralis,30,,,,,,,,,,30,,,,,,,,,,,
Pseudoalteromonas spongiae,30,,,,,30,,,,,,,30,,,,,,,,,30
Pseudoalteromonas telluritireducens,30,,,,,,,,,,30,,,,,,,,,,,
Pseudoalteromonas tetraodonis,22,,,,,20,,,,,20,,25,,,,,,,,,25
Pseudoalteromonas translucida,26,,,25,28,25,,,,,28,,,,,,,,,,,20
Pseudoalteromonas tunicata,20,,,,,22,,30,,,20,,,,,,,,,,,20
Pseudoalteromonas ulvae,25,,,,,25,,,,,28,,,,,,,,,,,25
Pseudoalteromonas undina,27,,,25,30,27,,,26,,30,,25,,,,,,,,,22
Pseudoalteromonas undinda,25,,,,,25,,,,,,,,,,,,,,,,
Pseudoalteromonas xiamenensis,25,,,,,,,,,,,,25,,,,,,,,,
Pseudoalteromonas xishaensis,25,,,,,,,,,,25,,,,,,,,,,,
Pseudoaminobacter defluvii,30,,,,,30,,,,,,,,,,,,,,,,
Pseudoarcicella hirudinis,27,,,,,,25,30,,,,,,,,,,,,,,
Pseudobacter ginsenosidimutans,30,,,,,,,,,,,,,30,,,,,,,,
Pseudobacteriovorax antillogorgiicola,24,20,,25,,,,,,,28,,,,,,,,,,,
Pseudobacteroides cellulosolvens,35,,,,,,,,,,35,,,,,,,,,,,
Pseudobdellovibrio exovorus,28,,,,,,,,,,28,,,,,,,,,,,
Pseudobensingtonia ingoldii,21,25,,,,,,,,,,,17,,,,,,,,,
Pseudobensingtonia musae,25,,,,,,,,,,,,25,,,,,,,,,
Pseudobizionia ponticola,30,,,,,,,,,,,,,30,,,,,,,,
Pseudobowmanella zhangzhouensis,28,,,,,,,,,,,,,28,,,,,,,,
Pseudobutyrivibrio ruminis,37,,,,,37,,,,,37,,,,,,,,,,,
Pseudobutyrivibrio xylanivorans,37,,37,,,37,,,,,37,,,,,,,,,,,37
Pseudochelatococcus contaminans,28,,,28,,,28,,,,28,,,,,,,,,,,30
Pseudochelatococcus lubricantis,28,,,28,,,28,,,,28,,,30,,,,,,,,25
Pseudochrobactrum asaccharolyticum,30,,,,,30,,33,,,30,,,28,,,,,,,,30
Pseudochrobactrum kiredjianae,25,,,,,25,,,,,,,,30,,,,,,,,25
Pseudochrobactrum kiredjianiae,29,,,,,,,30,,,28,,,,,,,,,,,
Pseudochrobactrum lubricantis,30,,,,,,30,30,,,30,,,,,,,,,,,
Pseudochrobactrum saccharolyticum,30,,,,,30,,,,28,30,,,28,,,,,,,,30
Pseudocitrobacter anthropi,30,,,,,,,,,,,,,,,,,,,,,30
Pseudocitrobacter faecalis,28,,,28,,,28,,,,28,,,,,,,,,,,30
Pseudocitrobacter vendiensis,37,,,37,,,,30,,,,,37,,,,,,,,,
Pseudoclavibacter caeni,28,,,,,,,,,,28,,28,30,,,,,,,,
Pseudoclavibacter chungangensis,28,,,28,,,,33,,,28,,,,,,,,,,,
Pseudoclavibacter endophyticus,28,,,,,,,,,,28,,28,28,,,,,,,,
Pseudoclavibacter helvolus,28,,,28,,29,,26,,,30,,28,,,,,,,,,
Pseudoclavibacter soli,28,,,,,,,,,,28,,28,30,,,,,,,,
Pseudoclavibacter terrae,28,,,,,,,,,,,,28,28,,,,,,,,
Pseudoclitocybe expallens,25,,,,,,,,,,25,,,,,,,,,,,
Pseudoclostridium thermosuccinogenes,60,,,,,,,,,,,,,60,,,,,,,,
Pseudocnuella soli,25,,,,,,,,,,,,,25,,,,,,,,
Pseudodesulfovibrio aespoeensis,30,,,,,,,,,,30,,,,,,,,,,,
Pseudodesulfovibrio alkaliphilus,30,,,,,,,,,,,,,30,,,,,,,,
Pseudodesulfovibrio halophilus,30,,,,,,,,,,30,,,,,,,,,,,
Pseudodesulfovibrio hydrargyri,30,,,,,,,,,,30,,30,,,,,,,,,
Pseudodesulfovibrio indicus,35,,,,,,,,,,35,,,,,,,,,,,
Pseudodesulfovibrio mercurii,30,,,,,,,,,,30,,,,,,,,,,,
Pseudodesulfovibrio piezophilus,29,,,,,,,,,,28,,30,,,,,,,,,
Pseudodesulfovibrio portus,30,,,,,,,,,,30,,30,,,,,,,,,
Pseudodesulfovibrio profundus,30,,,,,,,,,,30,,,,,,,,,,,
Pseudodesulfovibrio senegalensis,33,,,,,,,,,,37,,30,,,,,,,,,
Pseudodesulfovibrio tunisiensis,36,,,,,,,,,,35,,37,,,,,,,,,
Pseudodonghicola xiamenensis,28,,,28,,,,,,,28,,,,,,,,,,,
Pseudoduganella danionis,25,,,25,,,,,,,25,,,,,,,,,,,
Pseudoduganella violaceinigra,29,,,,,,,,,,28,,,,,,,,,,,30
Pseudoeromonas sharmana,33,,,,,,,33,,,,,,,,,,,,,,
Pseudoflavitalea ginsenosidimutans,28,,,,,,,,,,28,,,,,,,,,,,
Pseudoflavitalea rhizosphaerae,30,,,,,,,30,,,,,,,,,,,,,,
Pseudoflavitalea soli,29,,,,,,,30,,,,,28,,,,,,,,,
Pseudoflavonifractor capillosus,37,,,,,,,37,,,37,,37,37,,,,,,,,
Pseudoflavonifractor gallinarum,37,,,,,,,,,,,,37,,,,,,,,,
Pseudofrancisella aestuarii,35,,,,,,,,,,,,,35,,,,,,,,
Pseudofulvibacter gastropodicola,25,,,,,,,,,,,,25,,,,,,,,,
Pseudofulvibacter geojedonensis,27,,,,,,,30,,,,,,25,,,,,,,,
Pseudofulvibacter marinus,25,,,,,,,,,,,,25,,,,,,,,,
Pseudofulvimonas gallinarii,37,,,,,,30,37,,,37,,,,,,,,,,,
Pseudogemmobacter bohemicus,28,,,,,,,,,,28,,,,,,,,,,,
Pseudoglutamicibacter albus,37,,,,,,37,33,,,30,,37,,,,,,,,,37
Pseudoglutamicibacter cumminsii,37,,,,,,37,37,,,30,,37,,,,,,,,,37
Pseudogracilibacillus auburnensis,30,,,28,,,30,,,,30,,,,,,,,,,,30
Pseudogracilibacillus endophyticus,40,,,,,,,,,,,,40,40,,,,,,,,
Pseudogracilibacillus marinus,28,,,,,,,,,,,,28,,,,,,,,,
Pseudogulbenkiana subflava,25,,,,,25,,,,,,,,,,,,,,,,
Pseudogulbenkiania gefcensis,32,,,,,,,,,,,,32,,,,,,,,,
Pseudogulbenkiania subflava,25,,,25,25,,,,,,28,,,,,,,,,,,
Pseudohaliea rubra,29,,,,,,,,,,28,,,,,,,,,,,30
Pseudohalocynthiibacter aestuariivivens,26,,,,,,,,26,,,,,26,,,,,,,,
Pseudohansfordia irregularis,22,,,,,,,,,,22,,,,,,,,,,,
Pseudohoeflea suaedae,28,,,,,,,,,,28,,,,,,,,,,,
Pseudohongiella acticola,30,,,,,,,,30,,,,,30,,,,,,,,
Pseudohongiella nitratireducens,30,,,,,,,,,,,,,30,,,,,,,,
Pseudohongiella spirulinae,28,,,28,,,,,,,,,,,,,,,,,,
Pseudohyphozyma bogoriensis,25,25,,,,,,,,,,,25,,,,,,,,,
Pseudohyphozyma buffonii,25,25,,,,,,,,,,,25,,,,,,,,,
Pseudohyphozyma pustula,25,25,,,,,,,,,,,25,,,,,,,,,
Pseudokineococcus basanitobsidens,28,,,,,,,,,,28,,,,,,,,,,,
Pseudokineococcus galaxeicola,28,,,,,,,,,,28,,,,,,,,,,,
Pseudokineococcus lusitanus,28,,,28,,28,,,30,,28,,28,,,,,,,,,
Pseudokineococcus marinus,28,,,,,,,,,,,,28,,,,,,,,,
Pseudolabrys taiwanensis,29,,,,,,,29,,,,,,,,,,,,,,
Pseudoleptotrichia goodfellowii,37,,,,,,,,,,37,,37,,,,,,,,,
Pseudolysinimonas kribbensis,28,,,,,,,,,,28,,28,,,,,,,,,
Pseudolysinimonas yzui,29,,,,,,,,,,30,,28,,,,,,,,,
Pseudolysobacter antarcticus,20,,,,,,,,,,,,,20,,,,,,,,
Pseudomaricurvus alcaniphilus,29,,,,,,,,,,28,,30,,,,,,,,,
Pseudomaricurvus alkylphenolicus,25,,,,,,,,,,,,25,25,,,,,,,,
Pseudomethylobacillus aquaticus,27,,,,30,,,,,,,,,25,,,,,,,,
Pseudomonas abietaniphila,30,,,28,,30,,30,,,28,,,,,,,,,,,30
Pseudomonas acidophila,30,,,,30,,,,,,,,,,,,,,,,,
Pseudomonas aeroginosa,28,28,,,,,,,,,,,,,,,,,,,,
Pseudomonas aeruginosa,37,28,37,28,37,28,37,30,37,30,37,37,37,,37,,30,,37,,,30
Pseudomonas aestumarina,20,,,,,20,,,,,,,,,,,,,,,,
Pseudomonas aestus,28,28,,28,,,,,,,,,,,,,,,,,,
Pseudomonas aestusnigri,28,,,28,,,,37,30,,28,,,,,,,,,,,
Pseudomonas agarici,30,,,28,26,28,30,29,30,,30,,30,,,,,,,,,25
Pseudomonas akapageensis,22,,,,,,,,,,,,22,,,,,,,,,
Pseudomonas akappageensis,22,,,22,,,,,,,,,,,,,,,,,,
Pseudomonas alcaligenes,30,28,28,28,28,29,30,30,30,30,27,,30,,37,,25,,37,,28,30
Pseudomonas alcaliphila,28,,,28,28,28,,30,,,28,,30,,,,,,,,,30
Pseudomonas alginovora,22,,,,,22,,,,,,,,,,,,,,,,22
Pseudomonas alkanolytica,26,,,,26,,,,,,,,,,,,,,,,,
Pseudomonas alkylphenolica,30,,,,,,,,,,,,30,30,,,,,,,,
Pseudomonas allokribbensis,28,,,28,,,,,,,,,,,,,,,,,,
Pseudomonas alloputida,28,,,28,,,,,,,,,,,,,,,,,,
Pseudomonas alvandae,28,,,28,,,,,,,,,,,,,,,,,,
Pseudomonas amygdali,28,,27,28,,28,,,,,27,,,,,,,,,,,25
Pseudomonas amyloderamosa,32,28,37,,,,,,,,,,,,,,,,,,,
Pseudomonas anguilliseptica,25,,,28,26,25,25,30,26,,25,,,,,,20,,,,,25
Pseudomonas antarctica,25,,,25,,25,25,25,,,28,,,,,,,,,,,25
Pseudomonas antimicrobica,25,,,,,25,,,,,,,,,,,,,,,,
Pseudomonas antimycetica,24,28,,,,25,,,,,,,,,,,20,,,,,
Pseudomonas anuradhapurensis,28,,,28,,,,,,,,,,,,,,,,,,
Pseudomonas argentinensis,30,,,28,28,29,30,33,26,,30,,,,,,,,,,,30
Pseudomonas aromatica,25,,,,,25,,25,,,,,,,,,20,,,,,
Pseudomonas arsenicoxydans,30,,,28,,,30,30,30,,28,,,,,,,,,,,
Pseudomonas asgharzadehiana,28,,,28,,,,,,,,,,,,,,,,,,
Pseudomonas asiatica,30,,,,,,,,,,30,,30,,,,,,,,,
Pseudomonas asplenii,28,28,,28,26,28,30,28,26,,28,,30,,,,,,,,,26
Pseudomonas asturiensis,28,,,28,,,,,26,,28,,,,,,,,,,,
Pseudomonas asuensis,27,,,25,,,,,,,30,,25,30,,,,,,,,
Pseudomonas atacamensis,29,,,28,,,,30,,,,,,,,,,,,,,
Pseudomonas atagonensis,23,,,22,,,,,,,,,25,,,,,,,,,
Pseudomonas atlantica,20,,,,,20,,,,,,,,,,,,,,,,
Pseudomonas aurantiaca,28,,,,,25,,31,,,,,,,,,30,,,,,
Pseudomonas aureofaciens,26,,,,26,,,,,,,,,,,,,,,,,
Pseudomonas auricularis,30,,,,,,,,,,,,30,,,,,,,,,
Pseudomonas avellanae,25,,,28,,25,30,25,,,25,,25,,,,,,,,,25
Pseudomonas aylmerense,28,,,28,,,,,,,,,,,,,,,,,,
Pseudomonas azadiae,28,,,28,,,,,,,,,,,,,,,,,,
Pseudomonas azelaica,30,,,,,30,,,,,,,,,,,,,,,,30
Pseudomonas azerbaijanoccidens,28,,,28,,,,,,,,,,,,,,,,,,
Pseudomonas azerbaijanoriens,28,,,28,,,,,,,,,,,,,,,,,,
Pseudomonas azotifigens,30,,,28,,30,,30,,,30,,30,,,,,,,,,30
Pseudomonas azotoformans,27,,,26,26,25,30,26,,,28,,30,,,,,,,,,25
Pseudomonas azotogensis,30,,,30,,30,,,,,,,,,,,,,,,,
Pseudomonas baetica,25,,,28,26,,,,26,25,25,,,,,,,,,,30,
Pseudomonas balearica,30,,,28,30,30,30,30,,,29,,,,,,,,,,,30
Pseudomonas baltica,28,,,28,,,,,,,,,,,,,,,,,,
Pseudomonas bananamidigenes,28,,,28,,,,,,,,,,,,,,,,,,
Pseudomonas bathycetes,25,,,,,,,,,,,,25,,,,,,,,,
Pseudomonas bauzanensis,25,,,25,,25,,,,,28,,,,,,,,,,,
Pseudomonas beijerinckii,22,,,,,25,,,,,,,,,,,20,,,,,
Pseudomonas benzenivorans,30,,,,30,30,,,,,30,,,,,,,,,,,30
Pseudomonas beteli,28,,,28,,28,,,,,,,,,,,,,,,,
Pseudomonas bijieensis,28,,,28,,,,,,,,,,,,,,,,,,
Pseudomonas blatchfordae,27,,,,,,27,,,,,,,,,,,,,,,
Pseudomonas bohemica,29,,,28,,,,,30,,,,,,,,,,,,,
Pseudomonas borbori,28,,,28,,28,,30,,,28,,,,,,,,,,,30
Pseudomonas boreopolis,29,28,25,28,26,27,,30,,,28,,30,,,,25,,,,,30
Pseudomonas botevensis,28,,,28,,,,,,,,,,,,,,,,,,
Pseudomonas brassicacearum,28,,,28,,30,,,,,29,,28,,,,,,,,28,27
Pseudomonas brenneri,30,,,28,26,30,30,30,,26,30,,30,,,,,,,,,30
Pseudomonas bubulae,28,,,28,,,,,,,28,,,,,,,,,,,
Pseudomonas butanavora,30,,,,,30,,,,,,,,,,,,,,,,30
Pseudomonas caeni,29,,,,,,,,30,,28,,,,,,,,,,,
Pseudomonas canadensis,28,,,28,,,,30,,,,28,,,,,,,,,,
Pseudomonas cannabina,28,,,28,,28,30,30,,,28,,,,,,,,,,,25
Pseudomonas carbonaria,30,,,,,,30,,,,,,,,,,,,,,,
Pseudomonas carboxydohydrogena,30,,,,,30,,30,,,30,,30,,,,,,,,,
Pseudomonas caricapapayae,28,,27,28,26,28,30,,,,28,,,,,,,,,,,25
Pseudomonas carnis,25,,,25,,,,,,,25,,,,,,,,,,,
Pseudomonas caryocyanea,28,28,,,,,,,,,,,,,,,,,,,,
Pseudomonas caspiana,30,,,,,,,30,30,,,,,,,,,,,,,
Pseudomonas caudata,20,,,20,,20,,,,,,,,,,,,,,,,
Pseudomonas cedrina,29,,,28,,29,,29,,,29,,,,,,,,,,,30
Pseudomonas cellulosa,30,,30,,,,,,,,,,,,,,,,,,,
Pseudomonas cepacia,35,,,,,,,,,35,,,,,,,,,,,,
Pseudomonas cerasi,28,,,28,,,,,,,,,,,,,,,,,,
Pseudomonas chengduensis,28,,,,28,,,,,28,28,,,,,,,,,,,
Pseudomonas chloritidismutans,28,,,28,,28,,30,,,,,,,,,,,,,,
Pseudomonas chlororaphis,27,28,26,28,26,25,30,30,26,27,28,26,25,25,,,20,,30,,28,30
Pseudomonas cichorii,28,28,26,28,30,28,30,28,26,,27,,,,,,,,,,,25
Pseudomonas cissicola,28,,27,28,26,28,,,,,28,,25,,,,,,,,,25
Pseudomonas citronellolis,30,,,30,30,30,,33,,,30,,30,,,,30,,,,,30
Pseudomonas coenobios,26,,,26,,26,,,,,,,,,,,,,,,,
Pseudomonas cohaerens,25,,,,,25,,,,,,,,,,,25,,,,,
Pseudomonas coleopterorum,26,,,28,,,25,,26,,,,,,,,,,,,,
Pseudomonas composti,30,,,28,30,,,30,30,,28,,,,,,,,,,,
Pseudomonas congelans,30,,,28,,28,30,30,,,22,,,,,,,,,,,30
Pseudomonas coronafaciens,28,,,28,,28,,28,,,,,,,,,,,,,,
Pseudomonas corrugata,27,,,28,26,28,30,28,26,,26,,,,26,,,,,,28,25
Pseudomonas costantinii,28,,,28,,28,,30,,,28,,,,,,,,,,,30
Pseudomonas cremoricolorata,30,,,28,30,30,,30,,,30,,25,,,,,,,,,30
Pseudomonas cremoris,28,,,28,,,,,,,,,,,,,,,,,,
Pseudomonas cruciviae,28,28,,28,,25,,28,,,,,,,,,,,37,,,
