Organism,Consensus optimal temperature,ARS,ATCC,BCCM,BCRC,CABRI,CCM,CCUG,CECT,CICC,DSMZ,HAMBI,JCM,KEMB,NBIMCC,NBRC,NCIMB,NCMA,NCTC,NIES,VKM,CIP
Acidithiobacillus ferridurans,28,,,,26,,,,,,30,,,,,,,,,,,
Acidithiobacillus ferriphilus,30,,,,,,,,,,30,,,,,,,,,,,
Acidithiobacillus ferrivorans,28,,,,,,,,,,27,,30,,,,,,,,,
Acidithiobacillus ferrooxidans,30,,26,,26,30,27,,,,30,,30,,,,,,,,,
Acidithiobacillus sulfuriphilus,29,,,,,,,,,,28,,,30,,,,,,,,
Acidithiobacillus thiooxidans,27,,,,30,25,,,,,29,,30,,,,,,,,,25
Acidithrix ferrooxidans,30,,,,,,,,,,30,,,,,,,,,,,
Acidobacterium ailaaui,38,,,37,,,,,,,40,,,,,,,,,,,
Acidobacterium capsulatum,30,,,,30,30,,,,,30,,30,,,30,,,,,,
Acidocella aluminiidurans,28,,,,,,,,,,28,,,,,28,,,,,,
Acidocella aminolytica,37,,,,,37,,,,,37,,37,,,,,,,,,
Acidocella aquatica,28,,,,,,,,,,28,,,,,28,,,,,,
Acidocella aromatica,33,,,,,37,,,,,30,,,,,,,,,,,
Acidocella facilis,25,,,,,25,,,,,,,,,,,,,,,,
Acidomonas methanolica,30,,,30,30,30,30,,,,30,,30,,,30,,,,,30,30
Acidothermus cellulolyticus,55,,55,,,,,,,,55,,,,,,,,,,,
Acidovorax anthurii,30,,,,,29,,30,,,28,,,,,,,,,,,30
Acidovorax avenae,28,28,,28,30,28,30,26,,,25,,25,,,,,,,,,27
Acidovorax caeni,28,,,28,,28,,,,,28,,,,,,,,,,,
Acidovorax carolinensis,29,,,28,,,,,,,30,,,,,,,,,,,
Acidovorax cattleyae,28,,27,28,30,28,,28,,,28,,,,,,,,,,,
Acidovorax citrulli,28,,,28,,28,,,,,28,,,,,,,,,,,
Acidovorax defluvii,30,,,,,30,,30,,,30,,,,,,,,,,,30
Acidovorax delafieldii,28,28,,28,30,28,25,,28,,29,,,30,,,25,,,,,25
Acidovorax facilis,30,,,28,30,30,30,30,,,30,,,,,,25,,,,,25
Acidovorax konjaci,28,,,28,,28,,,,,28,,28,,,,,,,,,30
Acidovorax lacteus,25,,,,,,,,,,,,25,25,,,,,,,,
Acidovorax monticola,28,,,,,,,,,,,,,,,28,,,,,,
Acidovorax radicis,28,,,28,,,,,,,28,,,,,,,,,,,
Acidovorax soli,30,,,,,,,30,,,28,,30,30,,,,,,,,
Acidovorax temperans,28,,37,28,,28,30,37,,,28,,,,,,,,,,,27
Acidovorax valerianellae,26,,,,,26,,,,,28,,,,,,,,,,,25
Acidovorax wautersii,28,,,28,,,,,,,28,,,,,,,,,,,
Aciduliprofundum boonei,70,,,,,,,,,,70,,,,,,,,,,,
Acinetobacter albensis,30,,,,,,30,30,,,,,,,,,,,,,,30
Acinetobacter apis,27,,,,,,,30,,,,,25,,,,,,,,,
Acinetobacter baumannii,30,,37,30,37,30,37,33,30,37,30,,37,,37,30,30,,37,,30,30
Acinetobacter baumannii-complex,37,,,,,,,37,,,,,,,,,,,,,,
Acinetobacter baylyi,30,,37,28,30,30,30,33,,,30,,,,,35,,,,,30,30
Acinetobacter beijerinckii,30,,,37,,33,30,30,,29,28,,30,,,35,,,,,,27
Acinetobacter bereziniae,30,,,30,,30,,30,30,,30,,37,30,,,,,,,,30
Acinetobacter bohemicus,30,,,28,,,30,30,,,27,,25,,,,,,,,,30
Acinetobacter boissieri,30,,,28,,,,30,30,,30,,,,,,,,,,,30
Acinetobacter bouvetii,30,,,,,30,30,30,,,30,,30,,,35,,,,,,30
Acinetobacter brisouii,30,,,,,,,30,,,28,,,,,,,,,,,30
Acinetobacter calcoaceticus,30,28,26,30,30,30,30,33,30,,30,,30,,,,37,,,,30,30
Acinetobacter calcoeaceticus,28,28,,,,,,,,,,,,,,,,,,,,
Acinetobacter celticus,30,,,,,,28,30,,,,,,,,,,,,,,30
Acinetobacter chengduensis,30,,,,,,,,,,,,30,,,,,,,,,
Acinetobacter chinensi,30,,,,,,,,,,,,,30,,,,,,,,
Acinetobacter chinensis,30,,,,,,,30,,,,,,,,,,,,,,
Acinetobacter colistiniresistens,30,,,,,,30,30,,,30,,,,,,,,,,,30
Acinetobacter courvalinii,30,,,,,,30,33,,,,,,,,,,,,,,30
Acinetobacter cumulans,30,,,,,,,30,,,,,,30,,,,,,,,
Acinetobacter defluvii,30,,,,,,,30,,,30,,,30,,,,,,,,
Acinetobacter dijkshoorniae,37,,,37,,,,30,37,,,,,,,,,,,,,
Acinetobacter dispersus,30,,,,,,30,30,,,,,,,,,,,,,,30
Acinetobacter equi,33,,,,,,,33,,,,,,,,,,,,,,
Acinetobacter gandensis,37,,,37,,,,30,,,37,,,,,,,,,,,
Acinetobacter genomospecies,30,,,,,30,,30,,,28,,,,,,,,,,,30
Acinetobacter genospecies,30,,,30,,30,,,,,,,,,,,,,32,,,
Acinetobacter gerneri,30,,,,,30,30,33,,,30,,,,,,,,,,,30
Acinetobacter grimontii,30,,,,,30,30,36,,,,,,,,,,,,,,
Acinetobacter guangdongensis,30,,,,,,,30,,,,,,30,,,,,,,,
Acinetobacter guerrae,30,,,,,,30,30,,,,,,,,,,,,,,
Acinetobacter guillouiae,30,,,30,,30,,30,,,30,,,30,,,,,,,,30
Acinetobacter gyllenbergii,30,28,,37,,33,30,30,,,37,,,,,35,,,,,,30
Acinetobacter haemolyticus,30,,,30,30,30,37,30,,28,28,,,,28,30,30,,37,,,30
Acinetobacter haemolyticus/genospecies,28,,,,,,,,,28,,,,,,,,,,,,
Acinetobacter halotolerans,30,,,,,,,,,,,,30,,,,,,,,,
Acinetobacter harbinensis,30,,,,,,,30,,,25,,,20,,,,,,,,30
