Epoch	Time(sec)	Loss_train	MAE_train	RMSE_train	R2_train	loss_val	MAE_val	MAE_test	RMSE_val	RMSE_test	R2_val	R2_test	Lr
142	51108.543	5.2552	1.5886	2.2924	0.7944	12.4774	2.4267	2.4415	3.5323	3.5293	0.5177	0.5105	1.6423203268260675e-05
143	51497.6132	5.2935	1.5989	2.3007	0.793	12.3157	2.4085	2.4277	3.5094	3.5174	0.5239	0.5138	1.4780882941434607e-05
144	51878.1007	5.2386	1.5909	2.2888	0.7951	12.4638	2.4244	2.4318	3.5304	3.5239	0.5182	0.512	1.4780882941434607e-05
145	52261.111	5.2525	1.6	2.2918	0.7946	12.3994	2.4193	2.4248	3.5213	3.5142	0.5207	0.5147	1.4780882941434607e-05
146	52696.0324	5.2844	1.6015	2.2988	0.7933	12.4402	2.4222	2.4236	3.5271	3.5132	0.5191	0.515	1.3302794647291146e-05
147	53146.7383	5.2567	1.597	2.2928	0.7944	12.4149	2.4211	2.4263	3.5235	3.5159	0.5201	0.5142	1.3302794647291146e-05
148	53682.0547	5.2209	1.5871	2.2849	0.7958	12.4659	2.4193	2.4335	3.5307	3.5263	0.5181	0.5113	1.3302794647291146e-05
149	54098.9173	5.2382	1.59	2.2887	0.7951	12.475	2.4196	2.4183	3.532	3.5126	0.5178	0.5151	1.1972515182562031e-05
150	54430.5866	5.2186	1.5891	2.2844	0.7959	12.4465	2.4181	2.4291	3.528	3.5199	0.5189	0.5131	1.1972515182562031e-05
151	54734.5292	5.2873	1.6015	2.2994	0.7932	12.4806	2.4148	2.4275	3.5328	3.5199	0.5176	0.5131	1.1972515182562031e-05
152	55070.1	5.2216	1.5908	2.2851	0.7958	12.5074	2.4179	2.4291	3.5366	3.5183	0.5165	0.5136	1.1972515182562031e-05
153	55455.5266	5.2371	1.5908	2.2885	0.7952	12.5053	2.4197	2.4218	3.5363	3.5172	0.5166	0.5139	1.0775263664305828e-05
154	55837.482	5.2005	1.5863	2.2805	0.7966	12.3799	2.41	2.4239	3.5185	3.5112	0.5215	0.5155	1.0775263664305828e-05
155	56336.429	5.1988	1.5873	2.2801	0.7967	12.56	2.4164	2.428	3.544	3.5189	0.5145	0.5134	1.0775263664305828e-05
156	56798.4703	5.1881	1.5827	2.2777	0.7971	12.5562	2.4218	2.4305	3.5435	3.5235	0.5146	0.5121	9.697737297875246e-06
157	57362.0947	5.1392	1.5813	2.267	0.799	12.5025	2.4171	2.4197	3.5359	3.5149	0.5167	0.5145	9.697737297875246e-06
158	57909.471	5.1754	1.5788	2.275	0.7976	12.351	2.41	2.4171	3.5144	3.506	0.5226	0.5169	9.697737297875246e-06
159	58445.8649	5.1526	1.5798	2.2699	0.7985	12.4544	2.4157	2.4247	3.5291	3.5157	0.5186	0.5143	8.727963568087722e-06
160	58898.6689	5.2016	1.5821	2.2807	0.7965	12.4158	2.4115	2.4211	3.5236	3.5123	0.5201	0.5152	8.727963568087722e-06
161	59378.5124	5.1535	1.5833	2.2701	0.7984	12.4689	2.4187	2.4239	3.5311	3.5163	0.518	0.5141	8.727963568087722e-06
162	59923.5519	5.1446	1.5794	2.2682	0.7988	12.4171	2.4102	2.4172	3.5238	3.5117	0.52	0.5154	8.727963568087722e-06
163	60431.5034	5.0951	1.5709	2.2572	0.8007	12.4488	2.4123	2.4193	3.5283	3.5131	0.5188	0.515	7.85516721127895e-06
164	60988.3484	5.1807	1.5842	2.2761	0.7974	12.4453	2.4113	2.4163	3.5278	3.5111	0.5189	0.5156	7.85516721127895e-06
165	61487.9801	5.1238	1.573	2.2636	0.7996	12.4506	2.4099	2.4173	3.5285	3.5085	0.5187	0.5163	7.85516721127895e-06
166	62656.5479	5.1575	1.5804	2.271	0.7983	12.5062	2.4117	2.4208	3.5364	3.5154	0.5166	0.5144	7.069650490151056e-06
167	63195.6366	5.1275	1.5779	2.2644	0.7994	12.5323	2.4093	2.4137	3.5401	3.5104	0.5156	0.5158	7.069650490151056e-06
168	63765.3361	5.1666	1.5797	2.273	0.7979	12.5169	2.4144	2.4124	3.5379	3.509	0.5162	0.5161	7.069650490151056e-06
169	64323.0124	5.0918	1.5682	2.2565	0.8008	12.3287	2.4009	2.4076	3.5112	3.4947	0.5234	0.5201	6.362685441135951e-06
170	64864.1445	5.0908	1.57	2.2563	0.8009	12.4084	2.4068	2.4107	3.5226	3.5041	0.5204	0.5175	6.362685441135951e-06
171	65399.8301	5.1067	1.5747	2.2598	0.8003	12.5233	2.411	2.4218	3.5388	3.5185	0.5159	0.5135	6.362685441135951e-06
172	65777.7869	5.1344	1.5792	2.2659	0.7992	12.4096	2.4039	2.4055	3.5227	3.4958	0.5203	0.5198	6.362685441135951e-06
173	66171.5526	5.0872	1.5741	2.2555	0.801	12.434	2.4084	2.4142	3.5262	3.5063	0.5194	0.5169	5.7264168970223554e-06
174	66571.5844	5.1628	1.5805	2.2722	0.7981	12.4257	2.404	2.4131	3.525	3.5031	0.5197	0.5178	5.7264168970223554e-06
175	66973.0806	5.1165	1.5768	2.262	0.7999	12.3676	2.3974	2.4102	3.5168	3.4999	0.5219	0.5186	5.7264168970223554e-06
176	67371.6378	5.1456	1.5805	2.2684	0.7987	12.4202	2.4049	2.4151	3.5242	3.5063	0.5199	0.5169	5.15377520732012e-06
177	67764.9112	5.1227	1.5742	2.2633	0.7996	12.3675	2.3985	2.41	3.5167	3.4952	0.5219	0.5199	5.15377520732012e-06
178	68162.4608	5.1315	1.5753	2.2653	0.7993	12.36	2.3961	2.4106	3.5157	3.497	0.5222	0.5194	5.15377520732012e-06
179	68510.8784	5.0303	1.564	2.2428	0.8032	12.3412	2.3944	2.4065	3.513	3.4967	0.523	0.5195	4.638397686588108e-06
180	68907.4518	5.1038	1.5733	2.2592	0.8004	12.3076	2.3889	2.4083	3.5082	3.4953	0.5243	0.5199	4.638397686588108e-06
181	69320.2361	5.058	1.5712	2.249	0.8022	12.3013	2.392	2.4069	3.5073	3.4919	0.5245	0.5209	4.638397686588108e-06
182	69723.2321	5.1076	1.5745	2.26	0.8002	12.2747	2.3885	2.4036	3.5035	3.4892	0.5255	0.5216	4.638397686588108e-06
183	70120.3861	5.1001	1.5747	2.2583	0.8005	12.2638	2.3881	2.4024	3.502	3.4886	0.5259	0.5217	4.174557917929298e-06
184	70556.7584	5.0614	1.5694	2.2498	0.802	12.2563	2.3856	2.4	3.5009	3.4839	0.5262	0.523	4.174557917929298e-06
185	70999.5354	5.0146	1.5654	2.2393	0.8039	12.2956	2.3903	2.4015	3.5065	3.4902	0.5247	0.5213	4.174557917929298e-06
186	71509.0263	5.1605	1.5842	2.2717	0.7981	12.2859	2.3906	2.4019	3.5051	3.488	0.5251	0.5219	3.7571021261363684e-06
187	72043.4946	5.0975	1.573	2.2578	0.8006	12.2408	2.3813	2.3962	3.4987	3.4842	0.5268	0.5229	3.7571021261363684e-06
188	72575.0609	5.0548	1.5677	2.2483	0.8023	12.1804	2.3814	2.3973	3.49	3.4789	0.5292	0.5244	3.7571021261363684e-06
189	73181.829	5.1223	1.58	2.2633	0.7996	12.2377	2.3839	2.3954	3.4982	3.4797	0.527	0.5242	3.3813919135227317e-06
190	73740.1198	5.0294	1.5616	2.2426	0.8033	12.1975	2.3786	2.3951	3.4925	3.4748	0.5285	0.5255	3.3813919135227317e-06
